Nome,Tipo,Funil,Link
#atendimento-financeiro,Canvas,atendimento-financeiro,https://app.slack.com/docs/TDLTVAWQ6/F06EB9AQ4KA
#atualizações-terrenos,Canvas,atualizações-terrenos,https://app.slack.com/docs/TDLTVAWQ6/F05T7LH9CMU
#avisos-contrato-comercial,Canvas,avisos-contrato-comercial,https://app.slack.com/docs/TDLTVAWQ6/F07EPVAUNNN
#b2b-estruturação,Canvas,b2b-estruturação,https://app.slack.com/docs/TDLTVAWQ6/F05SVCT3536
#beatriz-testes,Canvas,beatriz-testes,https://app.slack.com/docs/TDLTVAWQ6/F06BY1C9MKM
#bizops-cyndaquil,Canvas,bizops-cyndaquil,https://app.slack.com/docs/TDLTVAWQ6/F05KLJZ523C
#bizops-squirtle,Canvas,bizops-squirtle,https://app.slack.com/docs/TDLTVAWQ6/F05JV3SRESX
#bos-operação,Canvas,bos-operação,https://app.slack.com/docs/TDLTVAWQ6/F07L35H32F8
#cidades-de-atuação,Canvas,cidades-de-atuação,https://app.slack.com/docs/TDLTVAWQ6/F05GD5D01BP
#comercial-compliance-pagamento-spot,Canvas,comercial-compliance-pagamento-spot,https://app.slack.com/docs/TDLTVAWQ6/F05JXU6FFLK
#comprovantes-taxa-implantação,Canvas,comprovantes-taxa-implantação,https://app.slack.com/docs/TDLTVAWQ6/F063D4T7PGR
#comunicados-seazone,Canvas,comunicados-seazone,https://app.slack.com/docs/TDLTVAWQ6/F05HSKRTZT2
#comunicação-novo-admsys,Canvas,comunicação-novo-admsys,https://app.slack.com/docs/TDLTVAWQ6/F05HRANN3DF
#contabilidade,Canvas,contabilidade,https://app.slack.com/docs/TDLTVAWQ6/F085R482YD7
#contrato-de-franquia,Canvas,contrato-de-franquia,https://app.slack.com/docs/TDLTVAWQ6/F0680CEH1FF
#crc-pool,Canvas,crc-pool,https://app.slack.com/docs/TDLTVAWQ6/F074E7BQS2W
#cs-csfranquias,Canvas,cs-csfranquias,https://app.slack.com/docs/TDLTVAWQ6/F05RZN5GL5R
#cs-financeiro,Canvas,cs-financeiro,https://app.slack.com/docs/TDLTVAWQ6/F05LRV0AB7F
#data-ops,Canvas,data-ops,https://app.slack.com/docs/TDLTVAWQ6/F07N5MLTX4J
#decor-penha-spot,Canvas,decor-penha-spot,https://app.slack.com/docs/TDLTVAWQ6/F06P6ULC04E
#demandas-sznled,Canvas,demandas-sznled,https://app.slack.com/docs/TDLTVAWQ6/F06TJQAS34J
#deploy_sapron_report,Canvas,deploy_sapron_report,https://app.slack.com/docs/TDLTVAWQ6/F0864QV9K1A
#dev-message-tests,Canvas,dev-message-tests,https://app.slack.com/docs/TDLTVAWQ6/F05LAK3F3JR
#distribuição-leads-szi,Canvas,distribuição-leads-szi,https://app.slack.com/docs/TDLTVAWQ6/F05QL857740
#distribuição-leads-szs,Canvas,distribuição-leads-szs,https://app.slack.com/docs/TDLTVAWQ6/F08CFHF6SJU
#equipe-suporte,Canvas,equipe-suporte,https://app.slack.com/docs/TDLTVAWQ6/F07ENBGBL3W
#expansão-szs-bahia,Canvas,expansão-szs-bahia,https://app.slack.com/docs/TDLTVAWQ6/F05LL1WQ0DD
#expansão-szs-centro-oeste,Canvas,expansão-szs-centro-oeste,https://app.slack.com/docs/TDLTVAWQ6/F05UW7E4QQZ
#fechamento,Canvas,fechamento,https://app.slack.com/docs/TDLTVAWQ6/F05M2RKKWAK
#feedback-rm,Canvas,feedback-rm,https://app.slack.com/docs/TDLTVAWQ6/F087L23FTCY
#feriados-szs,Canvas,feriados-szs,https://app.slack.com/docs/TDLTVAWQ6/F082EJ5K0UD
#financeiro-geral,Canvas,financeiro-geral,https://app.slack.com/docs/TDLTVAWQ6/F05T7QVFQM9
#financeiro-japaratinga,Canvas,financeiro-japaratinga,https://app.slack.com/docs/TDLTVAWQ6/F05KLEL18FL
#fluxo-churn,Canvas,fluxo-churn,https://app.slack.com/docs/TDLTVAWQ6/F07HQ94QKT4
#fluxo-cs,Canvas,fluxo-cs,https://app.slack.com/docs/TDLTVAWQ6/F05NTLSPWSU
#franquias-suprimentos-financeiro,Canvas,franquias-suprimentos-financeiro,https://app.slack.com/docs/TDLTVAWQ6/F07RRGK56P4
#heartbeats-cro,Canvas,heartbeats-cro,https://app.slack.com/docs/TDLTVAWQ6/F08EXJ0UN2D
#hosts_bd-consolidado,Canvas,hosts_bd-consolidado,https://app.slack.com/docs/TDLTVAWQ6/F05JUE6HMJ7
#indicacoes-seazone,Canvas,indicacoes-seazone,https://app.slack.com/docs/TDLTVAWQ6/F08HD018147
#indicações-internas-paceirosb2b,Canvas,indicações-internas-paceirosb2b,https://app.slack.com/docs/TDLTVAWQ6/F05H2R62DMH
#integração-madego,Canvas,integração-madego,https://app.slack.com/docs/TDLTVAWQ6/F05HGRZARMJ
#juridico-campeche,Canvas,juridico-campeche,https://app.slack.com/docs/TDLTVAWQ6/F061KJFFZD2
#mapeamento-novos-projetos,Canvas,mapeamento-novos-projetos,https://app.slack.com/docs/TDLTVAWQ6/F05V6D3RW3A
#marketing-place,Canvas,marketing-place,https://app.slack.com/docs/TDLTVAWQ6/F05MQRWPZ2A
#marketplace,Canvas,marketplace,https://app.slack.com/docs/TDLTVAWQ6/F05KT3CS5JQ
#meta-bizops-operacao-digital,Canvas,meta-bizops-operacao-digital,https://app.slack.com/docs/TDLTVAWQ6/F06N923B55Y
#meta-estruturação-op-local-q1-2024,Canvas,meta-estruturação-op-local-q1-2024,https://app.slack.com/docs/TDLTVAWQ6/F06B76LHF9U
#mkt-won,Canvas,mkt-won,https://app.slack.com/docs/TDLTVAWQ6/F06AERN8K9N
